variant_id,positions_changed,num_words_changed,changes,euclidean_distance,cosine_similarity,cosine_distance,is_collision,is_near_collision
0,[156],1,"[{'position': 156, 'original_word': 'unpaired', 'replacement_word': 'old'}]",0.03794332,0.9991815,0.000818491,False,False
1,[226],1,"[{'position': 226, 'original_word': 'to', 'replacement_word': 'and'}]",0.00096902094,0.99999946,5.364418e-07,False,False
2,[432],1,"[{'position': 432, 'original_word': 'model', 'replacement_word': 'way'}]",0.00060704036,0.99999994,5.9604645e-08,False,False
3,[491],1,"[{'position': 491, 'original_word': 'which', 'replacement_word': 'are'}]",0.0012958613,0.99999905,9.536743e-07,False,False
4,[799],1,"[{'position': 799, 'original_word': 'advantage', 'replacement_word': 'last'}]",0.0010065071,0.9999996,4.172325e-07,False,False
5,[862],1,"[{'position': 862, 'original_word': 'set', 'replacement_word': 'had'}]",0.0006227789,0.9999998,1.7881393e-07,False,False
6,[1010],1,"[{'position': 1010, 'original_word': 'experiments', 'replacement_word': 'is'}]",0.0012610512,0.9999991,8.940697e-07,False,False
7,[1444],1,"[{'position': 1444, 'original_word': 'θmax', 'replacement_word': 'had'}]",0.043746106,0.99891424,0.0010857582,False,False
8,[1714],1,"[{'position': 1714, 'original_word': '(a', 'replacement_word': 'were'}]",0.037872285,0.9991846,0.00081539154,False,False
9,[1803],1,"[{'position': 1803, 'original_word': 'two', 'replacement_word': 'are'}]",0.0015839268,0.99999875,1.2516975e-06,False,False
10,[1842],1,"[{'position': 1842, 'original_word': '[32]', 'replacement_word': 'had'}]",0.04368307,0.9989174,0.0010825992,False,False
11,[2111],1,"[{'position': 2111, 'original_word': 'there', 'replacement_word': 'little'}]",0.0010849263,0.9999994,5.9604645e-07,False,False
12,[2235],1,"[{'position': 2235, 'original_word': 'of', 'replacement_word': 'last'}]",0.00080073334,0.9999999,1.1920929e-07,False,False
13,[2236],1,"[{'position': 2236, 'original_word': 'all', 'replacement_word': 'to'}]",0.001040388,0.99999964,3.5762787e-07,False,False
14,[2668],1,"[{'position': 2668, 'original_word': '4208.26', 'replacement_word': 'long'}]",0.027728697,0.99956316,0.00043684244,False,False
15,[2935],1,"[{'position': 2935, 'original_word': '1.00', 'replacement_word': 'little'}]",0.033723697,0.99935335,0.0006466508,False,False
16,[3127],1,"[{'position': 3127, 'original_word': 'stel.', 'replacement_word': 'but'}]",0.04355773,0.99892277,0.0010772347,False,False
17,[3456],1,"[{'position': 3456, 'original_word': 'we', 'replacement_word': 'first'}]",0.0027623645,0.99999577,4.23193e-06,False,False
18,[3580],1,"[{'position': 3580, 'original_word': '0.68', 'replacement_word': 'would'}]",0.03325271,0.99937147,0.000628531,False,False
19,[3759],1,"[{'position': 3759, 'original_word': 'stel.', 'replacement_word': 'or'}]",0.02425622,0.9996656,0.00033438206,False,False
20,[3869],1,"[{'position': 3869, 'original_word': 'set', 'replacement_word': 'man'}]",0.002830513,0.99999535,4.6491623e-06,False,False
21,[3914],1,"[{'position': 3914, 'original_word': 'trained', 'replacement_word': 'on'}]",0.0016144415,0.9999987,1.3113022e-06,False,False
22,[4325],1,"[{'position': 4325, 'original_word': '\\nBody:...""', 'replacement_word': 'the'}]",0.022158504,0.99972093,0.00027906895,False,False
23,[4557],1,"[{'position': 4557, 'original_word': 'our', 'replacement_word': 'were'}]",0.0013459208,0.99999905,9.536743e-07,False,False
24,[4954],1,"[{'position': 4954, 'original_word': 'to', 'replacement_word': 'thing'}]",0.001085662,0.9999993,7.1525574e-07,False,False
25,[5315],1,"[{'position': 5315, 'original_word': 'and', 'replacement_word': 'had'}]",0.00053888216,1.0,0.0,False,False
26,[5319],1,"[{'position': 5319, 'original_word': 'Synergistic', 'replacement_word': 'last'}]",0.024011396,0.9996723,0.00032770634,False,False
27,[5338],1,"[{'position': 5338, 'original_word': 'Singh,', 'replacement_word': 'on'}]",0.033806194,0.9993503,0.0006496906,False,False
28,[5610],1,"[{'position': 5610, 'original_word': '15th', 'replacement_word': 'person'}]",0.024002956,0.9996728,0.0003272295,False,False
29,[5662],1,"[{'position': 5662, 'original_word': 'Geoffrey', 'replacement_word': 'for'}]",0.0009789251,0.9999995,4.7683716e-07,False,False
30,[5898],1,"[{'position': 5898, 'original_word': 'Online:', 'replacement_word': 'first'}]",0.03360049,0.99935824,0.0006417632,False,False
31,[6065],1,"[{'position': 6065, 'original_word': 'Lee.', 'replacement_word': 'will'}]",0.03357332,0.99935925,0.00064074993,False,False
32,[6067],1,"[{'position': 6067, 'original_word': 'Instruction', 'replacement_word': 'man'}]",0.0011973224,0.9999993,7.1525574e-07,False,False
33,[6457],1,"[{'position': 6457, 'original_word': 'Learning', 'replacement_word': 'but'}]",0.00075451005,0.99999976,2.3841858e-07,False,False
34,[6477],1,"[{'position': 6477, 'original_word': 'Radford,', 'replacement_word': 'way'}]",0.024020595,0.9996722,0.00032782555,False,False
35,[6572],1,"[{'position': 6572, 'original_word': 'Lin,', 'replacement_word': 'could'}]",0.0334442,0.99936414,0.00063586235,False,False
