variant_id,positions_changed,num_words_changed,changes,euclidean_distance,cosine_similarity,cosine_distance,is_collision,is_near_collision
0,"[422, 1806, 3418, 4559, 6426]",5,"[{'position': 422, 'original_word': 'vec2vec', 'replacement_word': 'with'}, {'position': 6426, 'original_word': 'Without', 'replacement_word': 'for'}, {'position': 1806, 'original_word': 'Granite', 'replacement_word': 'is'}, {'position': 4559, 'original_word': '[53]', 'replacement_word': 'good'}, {'position': 3418, 'original_word': 'Wikipedia),', 'replacement_word': 'or'}]",0.037396982,0.9992049,0.00079512596,False,False
1,"[95, 604, 3815, 5228, 5365]",5,"[{'position': 3815, 'original_word': '0.15', 'replacement_word': 'had'}, {'position': 5228, 'original_word': 'Chen,', 'replacement_word': 'day'}, {'position': 5365, 'original_word': 'Mehdi', 'replacement_word': 'is'}, {'position': 604, 'original_word': 'in', 'replacement_word': 'long'}, {'position': 95, 'original_word': 'translate', 'replacement_word': 'were'}]",0.030714892,0.9994638,0.0005362034,False,False
2,"[3, 468, 760, 3543, 6796]",5,"[{'position': 3, 'original_word': 'Jun', 'replacement_word': 'are'}, {'position': 6796, 'original_word': '“VisionLLM:', 'replacement_word': 'or'}, {'position': 468, 'original_word': 'in', 'replacement_word': 'own'}, {'position': 3543, 'original_word': '(0.0)', 'replacement_word': 'could'}, {'position': 760, 'original_word': 'assume', 'replacement_word': 'place'}]",0.026578296,0.9995987,0.00040131807,False,False
3,"[322, 1139, 2251, 4130, 6351]",5,"[{'position': 4130, 'original_word': 'from', 'replacement_word': 'own'}, {'position': 322, 'original_word': 'encoders.', 'replacement_word': 'but'}, {'position': 2251, 'original_word': 'top-kaccuracy', 'replacement_word': 'has'}, {'position': 6351, 'original_word': 'and', 'replacement_word': 'will'}, {'position': 1139, 'original_word': 'universal', 'replacement_word': 'of'}]",0.02371676,0.9996803,0.00031971931,False,False
4,"[1168, 4522, 5710, 6802, 7217]",5,"[{'position': 4522, 'original_word': 'on', 'replacement_word': 'to'}, {'position': 5710, 'original_word': 'toolkit”.', 'replacement_word': 'will'}, {'position': 1168, 'original_word': 'information', 'replacement_word': 'has'}, {'position': 7217, 'original_word': 'evaluation,', 'replacement_word': 'thing'}, {'position': 6802, 'original_word': 'an', 'replacement_word': 'was'}]",0.024206782,0.9996671,0.00033289194,False,False
5,"[1845, 1979, 3290, 5937, 6966]",5,"[{'position': 5937, 'original_word': '11', 'replacement_word': 'person'}, {'position': 1845, 'original_word': 'BERT', 'replacement_word': 'could'}, {'position': 6966, 'original_word': 'by', 'replacement_word': 'of'}, {'position': 3290, 'original_word': 'in', 'replacement_word': 'great'}, {'position': 1979, 'original_word': 'arg', 'replacement_word': 'life'}]",0.036615577,0.9992379,0.000762105,False,False
6,"[447, 669, 2092, 6023, 8456]",5,"[{'position': 6023, 'original_word': '2308.03281', 'replacement_word': 'had'}, {'position': 8456, 'original_word': 'on', 'replacement_word': 'hand'}, {'position': 2092, 'original_word': 'F(ui),', 'replacement_word': 'has'}, {'position': 669, 'original_word': '2', 'replacement_word': 'have'}, {'position': 447, 'original_word': 'as', 'replacement_word': 'would'}]",0.03587903,0.99926835,0.000731647,False,False
7,"[2488, 2741, 5615, 6527, 8532]",5,"[{'position': 5615, 'original_word': 'Learning', 'replacement_word': 'world'}, {'position': 8532, 'original_word': '→gtr', 'replacement_word': 'own'}, {'position': 2741, 'original_word': '(0.0)', 'replacement_word': 'life'}, {'position': 2488, 'original_word': 'any', 'replacement_word': 'and'}, {'position': 6527, 'original_word': 'Singular', 'replacement_word': 'the'}]",0.033841107,0.999349,0.00065100193,False,False
8,"[103, 2513, 6411, 8586, 8599]",5,"[{'position': 103, 'original_word': 'preserving', 'replacement_word': 'or'}, {'position': 8586, 'original_word': 'our', 'replacement_word': 'world'}, {'position': 6411, 'original_word': 'Luca', 'replacement_word': 'long'}, {'position': 2513, 'original_word': 'we', 'replacement_word': 'to'}, {'position': 8599, 'original_word': 'but', 'replacement_word': 'new'}]",0.015850661,0.9998572,0.00014281273,False,False
9,"[2554, 2633, 2656, 4287, 6942]",5,"[{'position': 2656, 'original_word': '0.00', 'replacement_word': 'place'}, {'position': 2633, 'original_word': '-0.03', 'replacement_word': 'in'}, {'position': 2554, 'original_word': 'a', 'replacement_word': 'was'}, {'position': 6942, 'original_word': 'Sercan', 'replacement_word': 'in'}, {'position': 4287, 'original_word': 'they', 'replacement_word': 'will'}]",0.034386273,0.9993278,0.0006722212,False,False
